inci	cas	ec	functions	restriction
CALCITE	13397-26-7		SKIN CONDITIONING	
CALCITE POWDER	13397-26-7			
CALCIUM ACETATE	62-54-4	200-540-9	MASKING, VISCOSITY CONTROLLING	
CALCIUM ACRYLATE	6292-01-9	228-547-2		
CALCIUM ALGINATE	9005-35-0		MASKING, VISCOSITY CONTROLLING	
CALCIUM ALUMINUM BOROSILICATE	65997-17-3	266-046-0	BULKING	
CALCIUM ASCORBATE	5743-27-1	227-261-5	ANTIOXIDANT, SKIN CONDITIONING	
CALCIUM ASPARTATE	21059-46-1	244-185-8	SKIN CONDITIONING	
CALCIUM BEHENATE	3578-72-1	222-700-7	ANTICAKING, OPACIFYING, VISCOSITY CONTROLLING	
CALCIUM BENZOATE	2090-05-3	218-235-4	PRESERVATIVE	V/1a
CALCIUM BETA-SITOSTERYL SULFATE			HAIR CONDITIONING, SKIN CONDITIONING	
CALCIUM CARBONATE	471-34-1	207-439-9 -- 215-279-6	ABRASIVE, BUFFERING, BULKING, OPACIFYING, ORAL CARE	IV/124
CALCIUM CARBONATE/CALCIUM HYDROXIDE/CALCIUM OXIDE/CLAY/ILLITE/ORTHOCLASE/OYSTER SHELL POWDER/QUARTZ POWDER/VERMICULITE/ZEOLITE EXTRACT			EMOLLIENT, HUMECTANT, SKIN CONDITIONING	
CALCIUM CARBOXYMETHYL CELLULOSE	9050-04-8	-	EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING	
CALCIUM CARRAGEENAN	9049-05-2		EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING	
CALCIUM CASEINATE	9005-43-0		BINDING, BULKING, HAIR CONDITIONING, SKIN CONDITIONING	
CALCIUM CERIUM OXIDE			UV ABSORBER	
CALCIUM CERIUM PHOSPHATE	7790-76-3	232-221-5	STABILISING	
CALCIUM CHITOSAN	-	-	FILM FORMING, SKIN CONDITIONING	
CALCIUM CHLORIDE	10043-52-4	233-140-8	ASTRINGENT, VISCOSITY CONTROLLING	
CALCIUM CITRATE	813-94-5	212-391-7	BUFFERING	
CALCIUM CYCLAMATE	139-06-0	205-349-4	MASKING	
CALCIUM DIHYDROGEN PHOSPHATE	7758-23-8	231-837-1	BUFFERING	
CALCIUM DISODIUM EDTA	62-33-9	200-529-9	CHELATING	
CALCIUM DNA			SKIN CONDITIONING	
CALCIUM DODECYLBENZENESULFONATE	26264-06-2	247-557-8	CLEANSING, SURFACTANT	
CALCIUM FLUORIDE	7789-75-5	232-188-7	ANTIPLAQUE, ORAL CARE	III/30
CALCIUM FRUCTOBORATE	250141-42-5		HUMECTANT, SKIN CONDITIONING	III/1a
CALCIUM FRUCTOHEPTONATE	206360-00-1		SKIN CONDITIONING	
CALCIUM GLUCOHEPTONATE	29039-00-7	249-383-8	SKIN CONDITIONING	
CALCIUM GLUCONATE	299-28-5	206-075-8	HUMECTANT, ORAL CARE, SKIN CONDITIONING	
CALCIUM GLYCEROPHOSPHATE	27214-00-2 / 126-95-4 / 1336-00-1 / 58409-70-4	248-328-5 / 204-813-3 / 215-643-4 / 261-240-1	ANTIPLAQUE, ORAL CARE	
CALCIUM GLYCINATE	35947-07-0	252-809-5	BUFFERING, SKIN CONDITIONING	
CALCIUM HEXAPEPTIDE-11	-	-	SKIN CONDITIONING	
CALCIUM HYDROLYZED COLLAGEN	-	-	HAIR CONDITIONING, SKIN CONDITIONING	
CALCIUM HYDROXIDE	1305-62-0	215-137-3	BUFFERING	III/15c
CALCIUM HYDROXYAPATITE	1306-06-5	215-145-7	SKIN CONDITIONING	
CALCIUM HYDROXYMETHIONINE	922-50-9 / 4857-44-7	213-075-1 / 225-455-4	SKIN CONDITIONING	
CALCIUM HYDROXYMETHYLBUTYRATE	35236-72-5	681-140-5		
CALCIUM HYPOCHLORITE	7778-54-3	231-908-7	ANTIMICROBIAL	
CALCIUM KETOGLUCONATE	28098-92-2		SKIN CONDITIONING	
CALCIUM LACTATE	814-80-2	212-406-7	ASTRINGENT, BUFFERING, KERATOLYTIC	
CALCIUM LAURATE	4696-56-4	225-166-3	ANTICAKING, EMULSION STABILISING, SURFACTANT, VISCOSITY CONTROLLING	
CALCIUM LAUROYL TAURATE	138705-25-6		SURFACTANT	
CALCIUM LIGNOSULFONATE	8061-52-7		EMULSIFYING	
CALCIUM/MAGNESIUM HYDROXYAPATITE				
CALCIUM MAGNESIUM SILICATE			ABSORBENT, DEODORANT	
CALCIUM/MAGNESIUM/ZINC HYDROXYAPATITE			ORAL CARE	
CALCIUM MONOFLUOROPHOSPHATE	7789-74-4	232-187-1	ANTIPLAQUE, ORAL CARE	III/29
CALCIUM MONTANATE	68308-22-5 / 52258-47-6	269-637-1 / 257-794-9	ANTICAKING, VISCOSITY CONTROLLING	
CALCIUM MYRISTATE	15284-51-2	239-328-6	ANTICAKING, EMULSION STABILISING, SURFACTANT, VISCOSITY CONTROLLING	
CALCIUM OXIDE	1305-78-8	215-138-9	BUFFERING	
CALCIUM PANTETHEINE SULFONATE	34644-00-3		HAIR CONDITIONING, SKIN CONDITIONING	
CALCIUM PANTOTHENATE	137-08-6	205-278-9	ANTISTATIC, HAIR CONDITIONING	
CALCIUM PARABEN	69959-44-0	274-235-4	PRESERVATIVE	V/12
CALCIUM PCA	31377-05-6	250-602-4	HUMECTANT, SKIN CONDITIONING	
CALCIUM PEROXIDE	1305-79-9	215-139-4	OXIDISING	III/12
CALCIUM PHOSPHATE	7758-23-8 / 10103-46-5	231-837-1 / 233-283-6	ABRASIVE, ANTIPLAQUE, BUFFERING, BULKING, ORAL CARE, VISCOSITY CONTROLLING	
CALCIUM PHOSPHORYL OLIGOSACCHARIDES	-	-	HUMECTANT, ORAL CARE	
CALCIUM POLYGAMMA-GLUTAMATE	648426-24-8	-	SKIN CONDITIONING	
CALCIUM POLYGLUTAMATE	-	-	HAIR CONDITIONING, SKIN CONDITIONING	
CALCIUM POLYGLUTAMATE CROSSPOLYMER	-	-	EMULSION STABILISING, FILM FORMING, SKIN CONDITIONING	
CALCIUM POLYOXYMETHYLENE PYRROLIDONE	142702-41-8		BULKING	
CALCIUM POTASSIUM CARBOMER	-	-	EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING	
CALCIUM POTASSIUM SODIUM PHOSPHATE	131862-42-5		ABRASIVE, ANTIMICROBIAL, ANTIPLAQUE, ORAL CARE	
CALCIUM PROPIONATE	4075-81-4	223-795-8	PRESERVATIVE	V/2
CALCIUM PYROPHOSPHATE	7790-76-3	232-221-5	ABRASIVE, ORAL CARE	
CALCIUM RNA			SKIN CONDITIONING	
CALCIUM SACCHARIN	6485-34-3	229-349-9	MASKING, ORAL CARE	
CALCIUM SALICYLATE	824-35-1	212-525-4	PRESERVATIVE	V/3
CALCIUM SILICATE	1344-95-2	215-710-8	ABSORBENT, BULKING, OPACIFYING, PEARLESCENT, VISCOSITY CONTROLLING	
CALCIUM SODIUM BOROSILICATE	65997-17-3 / 1204320-21-7 / 308066-97-9	266-046-0 / - / -	BULKING	
CALCIUM SODIUM FLUOROPHOSPHOSILICATE				
CALCIUM SODIUM PHOSPHOSILICATE			ORAL CARE	
CALCIUM/SODIUM PVM/MA COPOLYMER	94290-13-8		FILM FORMING, HAIR FIXING	
CALCIUM SORBATE	7492-55-9	231-321-6	PRESERVATIVE	V/4
CALCIUM STARCH ISODODECENYLSUCCINATE	194810-88-3		EMOLLIENT, SKIN CONDITIONING	
CALCIUM STARCH OCTENYLSUCCINATE			ABSORBENT, EMULSIFYING, EMULSION STABILISING, VISCOSITY CONTROLLING	
CALCIUM STEARATE	1592-23-0	216-472-8	ANTICAKING, COSMETIC COLORANT, EMULSION STABILISING, VISCOSITY CONTROLLING	IV/150
CALCIUM STEAROYL LACTYLATE	5793-94-2	227-335-7	EMULSIFYING, SURFACTANT	
CALCIUM/STRONTIUM HYDROXYAPATITE				
CALCIUM SULFATE	7778-18-9	231-900-3	ABRASIVE, BULKING, OPACIFYING, PEARLESCENT	IV/125
CALCIUM SULFATE HYDRATE	13397-24-5		ABRASIVE, ANTICAKING, ASTRINGENT, BINDING, BLEACHING, OPACIFYING, SKIN CONDITIONING	
CALCIUM SULFIDE	20548-54-3	243-873-5	DEPILATORY	III/23
CALCIUM TARTRATE	3164-34-9	221-621-5	SKIN CONDITIONING	
CALCIUM THIOGLYCOLATE	814-71-1	212-402-5	DEPILATORY, KERATOLYTIC, REDUCING	III/2a
CALCIUM THIOGLYCOLATE HYDROXIDE	65208-41-5 / 29820-13-1	- / 249-881-5	DEPILATORY	III/2a
CALCIUM TITANATE	12049-50-2	234-988-1	SKIN PROTECTING	
CALCIUM TITANIUM BOROSILICATE	-	-	ABRASIVE, BULKING	
CALCIUM TRIFLUOROACETATE	60884-90-4		ABRASIVE	
CALCIUM UNDECYLENATE	1322-14-1	215-331-8	ANTIMICROBIAL, PRESERVATIVE, VISCOSITY CONTROLLING	V/18
CALCIUM XYLENESULFONATE	28088-63-3	248-829-9	HYDROTROPE, SURFACTANT	
CALCIUM/ZINC PVM/MA COPOLYMER	-	-	BINDING	
CALENDULA OFFICINALIS CALLUS EXTRACT	84776-23-8	283-949-5 (I)	EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING	
CALENDULA OFFICINALIS EXTRACT	84776-23-8	283-949-5	SKIN CONDITIONING	
CALENDULA OFFICINALIS FLOWER	84776-23-8	283-949-5	SKIN CONDITIONING	
CALENDULA OFFICINALIS FLOWER EXTRACT	84776-23-8	283-949-5	MASKING, PERFUMING, SKIN CONDITIONING	
CALENDULA OFFICINALIS FLOWER/LEAF/STEM JUICE	84776-23-8	283-949-5	SKIN CONDITIONING	
CALENDULA OFFICINALIS FLOWER OIL	84776-23-8 / 70892-20-5	283-949-5 / -	MASKING, PERFUMING, SKIN CONDITIONING	
CALENDULA OFFICINALIS FLOWER WATER	84776-23-8	283-949-5	FLAVOURING, MASKING, PERFUMING	
CALENDULA OFFICINALIS MERISTEM CELL EXTRACT			ANTIOXIDANT	
(CALENDULA OFFICINALIS/SAFFLOWER FLOWER)/(ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM)/(VACCINIUM MYRTILLUS/VITEX AGNUS-CASTUS FRUIT)/RHUS CHINENSIS GALL/WALNUT HUSK/(CAMELLIA SINENSIS/NETTLE LEAF)/(JUNIPERUS COMMUNIS LEAF/STEM)/HORSE CHESTNUT NUT/DICHROA FEBRIFUGA ROOT/GRAPE SEED/ACACIA CATECHU WOOD/GOLDENROD/HYPERICUM PERFORATUM EXTRACT			HAIR DYEING	
CALENDULA OFFICINALIS SEED OIL	84776-23-8	283-949-5	SKIN CONDITIONING	
CALF BLOOD EXTRACT	68070-90-6	268-338-3	SKIN CONDITIONING	
CALF SERUM			SKIN CONDITIONING	
CALF SKIN EXTRACT	91081-63-9	293-670-0	REFATTING	
CALLIANDRA PORTORICENSIS SYMBIOSOME EXTRACT	-	-	SKIN CONDITIONING	
CALLIBLEPHARIS CILIATA EXTRACT	-	-	SKIN CONDITIONING	
CALLIBLEPHARIS JUBATA EXTRACT			SKIN PROTECTING	
CALLICARPA DICHOTOMA FRUIT EXTRACT				
CALLICARPA JAPONICA FRUIT EXTRACT	1061737-07-2		SKIN CONDITIONING	
CALLICARPA MACROPHYLLA FLOWER EXTRACT	-	-	DEODORANT	
CALLICARPA MACROPHYLLA FRUIT EXTRACT				
CALLISTEPHUS CHINENSIS LEAF EXTRACT			SKIN CONDITIONING	
CALLITRIS COLUMELLARIS LEAF/TWIG OIL	192526-11-7		MASKING	
CALLITRIS COLUMELLARIS LEAF/WOOD EXTRACT			ANTIOXIDANT, HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING	
CALLITRIS COLUMELLARIS SEED OIL			ANTIOXIDANT, HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING	
CALLITRIS GLAUCOPHYLLA LEAF EXTRACT				
CALLITRIS INTRATROPICA WOOD OIL	180287-43-8		MASKING	
CALLITRIS QUADRIVALVIS GUM	9000-57-1	232-547-8	EMULSION STABILISING, MASKING	
CALLUNA VULGARIS EXTRACT	84603-54-3	283-255-2	SKIN CONDITIONING	
CALLUNA VULGARIS FLOWER EXTRACT	84603-54-3	283-255-2	SKIN CONDITIONING	
CALLUNA VULGARIS FLOWER WATER	84603-54-3	283-255-2	SKIN CONDITIONING	
CALOCEDRUS DECURRENS LEAF/STEM EXTRACT	-	-	SKIN CONDITIONING	
CALOCEDRUS DECURRENS LEAF/STEM OIL	-	-	MASKING	
CALOCEDRUS FORMOSANA LEAF EXTRACT			EMOLLIENT, HUMECTANT, SKIN CONDITIONING	
CALOCHORTUS TOLMIEI FLOWER EXTRACT			MASKING	
CALODENDRUM CAPENSE NUT OIL			EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING	
CALOPHYLLUM INOPHYLLUM LEAF EXTRACT	-	-	HUMECTANT, SKIN CONDITIONING	
CALOPHYLLUM INOPHYLLUM SEED OIL	-	-	ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, ORAL CARE, SKIN CONDITIONING, UV ABSORBER	
CALOPHYLLUM INOPHYLLUM SEEDCAKE POWDER				
CALOPHYLLUM TACAMAHACA FRUIT OIL	223748-12-7	-	EMOLLIENT	
CALOPHYLLUM TACAMAHACA SEED EXTRACT	-	-	HUMECTANT, SKIN CONDITIONING	
CALOPHYLLUM TACAMAHACA SEED OIL	223748-12-7	-	EMOLLIENT, SKIN CONDITIONING	
CALOTHRIX CRUSTACEA			HUMECTANT, SKIN CONDITIONING	
CALOTROPIS PROCERA CALLUS EXTRACT			ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING	
CALYCANTHUS PRAECOX LEAF EXTRACT	-	-	SKIN CONDITIONING	
CALYCOPHYLLUM SPRUCEANUM BARK EXTRACT			SKIN CONDITIONING	
CALYSTEGIA SEPIUM EXTRACT			ANTIOXIDANT	
CALYSTEGIA SOLDANELLA EXTRACT			SKIN CONDITIONING	
CAMEL MILK			HUMECTANT, SKIN CONDITIONING	
CAMEL MILK EXTRACT			SKIN CONDITIONING	
CAMELINA SATIVA SEED EXTRACT	223749-43-7	-	SKIN CONDITIONING	
CAMELINA SATIVA SEED OIL			SKIN CONDITIONING	
CAMELINA SATIVA SEED OIL ETHYL ESTERS			ANTIOXIDANT, HAIR CONDITIONING	
CAMELINA SATIVA SEED OIL/PALM OIL AMINOPROPANEDIOL ESTERS	-	-	SKIN CONDITIONING	
CAMELINA SEED OIL GLYCERETH-8 ESTERS				
CAMELLIA CHEKIANGOLEOSA SEED OIL	68916-73-4	-	HAIR CONDITIONING, SKIN CONDITIONING	
CAMELLIA EURYOIDES LEAF EXTRACT			EMOLLIENT, HUMECTANT, SKIN CONDITIONING	
CAMELLIA JAPONICA ALBIPETALA LEAF EXTRACT	-	-	SKIN CONDITIONING	
CAMELLIA JAPONICA CALLUS EXTRACT			ANTIOXIDANT, EMOLLIENT, SKIN CONDITIONING	
CAMELLIA JAPONICA EXTRACT	-	-	SKIN CONDITIONING	
CAMELLIA JAPONICA FLOWER EXTRACT	223748-13-8	-	EMOLLIENT, SKIN CONDITIONING	
CAMELLIA JAPONICA FLOWER JUICE				
CAMELLIA JAPONICA FLOWER/LEAF/SEED WATER			SKIN CONDITIONING	
CAMELLIA JAPONICA FLOWER POWDER	-	-	SKIN CONDITIONING	
CAMELLIA JAPONICA FLOWER WATER	223748-13-8	-	SKIN CONDITIONING	
CAMELLIA JAPONICA GAMMA-LACTONE			HAIR CONDITIONING, NAIL CONDITIONING, SKIN CONDITIONING	
CAMELLIA JAPONICA (JAPANESE CALMELLIA) LEAF EXTRACT	223748-13-8	-		
CAMELLIA JAPONICA LEAF CELL EXTRACT			SKIN PROTECTING	
CAMELLIA JAPONICA LEAF EXTRACT	223748-13-8	-	SKIN CONDITIONING	
CAMELLIA JAPONICA LEAF/SEED WATER			SKIN CONDITIONING	
CAMELLIA JAPONICA LEAF WATER				
CAMELLIA JAPONICA LEAF WAX			SMOOTHING	
CAMELLIA JAPONICA MERISTEM CELL EXTRACT			ANTIOXIDANT, SKIN PROTECTING	
CAMELLIA JAPONICA OVARY POWDER	-	-	SKIN CONDITIONING	
CAMELLIA JAPONICA PHYTOPLACENTA EXTRACT			ANTIMICROBIAL, HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING	
(CAMELLIA JAPONICA/PRUNUS MUME/SAFFLOWER FLOWER)/(ARONIA ARBUTIFOLIA/BLUEBERRY/CRANBERRY/EUTERPE OLERACEA FRUIT)/CAMELLIA SINENSIS LEAF/GARCINIA MANGOSTANA PEEL/COFFEE SEED/PROPOLIS/WINE EXTRACT			SKIN CONDITIONING	
CAMELLIA JAPONICA SEED EXTRACT	223748-13-8	-	SKIN CONDITIONING	
CAMELLIA JAPONICA SEED OIL	223748-13-8	-	EMOLLIENT, SKIN CONDITIONING	
CAMELLIA JAPONICA SEED OIL AMINOPROPANEDIOL AMIDES/ESTERS			EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING	
CAMELLIA JAPONICA SEED OIL ETHYL ESTERS			EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING	
CAMELLIA JAPONICA SEED OIL TRIACETIN ESTERS				
CAMELLIA JAPONICA SEED POWDER			SKIN CONDITIONING	
CAMELLIA JAPONICA SEED WATER			MASKING	
CAMELLIA JAPONICA SEEDCAKE EXTRACT	223748-13-8	-	SKIN CONDITIONING	
CAMELLIA JAPONICA SEEDCOAT POWDER	-	-	SKIN CONDITIONING	
CAMELLIA KISSI SEED OIL	94333-92-3	305-071-4	EMOLLIENT, SKIN CONDITIONING	
CAMELLIA OLEIFERA LEAF	-	-	MASKING	
CAMELLIA OLEIFERA LEAF EXTRACT	94333-93-4	305-073-5	ASTRINGENT, SKIN CONDITIONING	
CAMELLIA OLEIFERA SEED EXTRACT	94333-93-4	305-073-5	ASTRINGENT, TONIC	
CAMELLIA OLEIFERA SEED OIL	225233-97-6	-	SKIN CONDITIONING	
CAMELLIA OLEIFERA SEED OIL AMINOPROPANEDIOL AMIDES/ESTERS			EMOLLIENT, HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING	
CAMELLIA OLEIFERA SEED OIL /HYDROGENATED CAMELLIA OLEIFERA SEED OIL ESTERS	-	-	EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING, VISCOSITY CONTROLLING	
CAMELLIA OLEIFERA (TEA-OIL CAMELLIA) SEED EXTRACT	94333-93-4	305-073-5		
CAMELLIA RETICULATA SEED BUTTER	-	-	EMOLLIENT	
CAMELLIA RETICULATA SEED OIL	-	-	EMOLLIENT	
CAMELLIA SASANQUA EXTRACT				
CAMELLIA SEED OIL	-	-	HAIR CONDITIONING	
CAMELLIA SEED OIL/HYDROGENATED CAMELLIA SEED OIL ESTERS				
CAMELLIA SINENSIS CALLUS				
CAMELLIA SINENSIS CALLUS CULTURE CONDITIONED MEDIA				
CAMELLIA SINENSIS CALLUS CULTURE EXTRACT	84650-60-2	283-519-7	PERFUMING, SKIN CONDITIONING	
CAMELLIA SINENSIS CALLUS CULTURE LYSATE			ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING	
CAMELLIA SINENSIS CALLUS EXTRACT			SKIN PROTECTING	
CAMELLIA SINENSIS CATECHINS	84650-60-2	283-519-7	ANTIOXIDANT, PERFUMING	
CAMELLIA SINENSIS EXTRACT	84650-60-2	283-519-7 (I)	ANTIOXIDANT, BLEACHING, SKIN CONDITIONING	
CAMELLIA SINENSIS FLOWER EXTRACT	84650-60-2	283-519-7	PERFUMING, SKIN CONDITIONING	
CAMELLIA SINENSIS FLOWER/LEAF/STEM JUICE	84650-60-2	283-519-7	ANTIOXIDANT, PERFUMING	
CAMELLIA SINENSIS FLOWER WATER	84650-60-2	283-519-7		
CAMELLIA SINENSIS (GREEN TEA) EXTRACT	84650-60-2	283-519-7 (I)		
CAMELLIA SINENSIS LEAF	84650-60-2	283-519-7	PERFUMING, SKIN CONDITIONING	
CAMELLIA SINENSIS LEAF CELL EXTRACT			ANTIOXIDANT, SKIN PROTECTING	
CAMELLIA SINENSIS LEAF EXTRACT	84650-60-2	283-519-7	ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT, EMOLLIENT, HUMECTANT, MASKING, ORAL CARE, SKIN CONDITIONING, SKIN PROTECTING, TONIC, UV ABSORBER	
CAMELLIA SINENSIS LEAF/IRON HYDROXIDE POWDER				
CAMELLIA SINENSIS LEAF OIL	68916-73-4	-	ANTIOXIDANT, SKIN CONDITIONING	
CAMELLIA SINENSIS LEAF/PANAX GINSENG ROOT EXTRACT			EMOLLIENT, SKIN CONDITIONING	
CAMELLIA SINENSIS LEAF POLYSACCHARIDE			ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT	
CAMELLIA SINENSIS LEAF POWDER	84650-60-2 (generic)	283-519-7		
CAMELLIA SINENSIS LEAF/STALK EXTRACT	84650-60-2 (generic)	283-519-7		
CAMELLIA SINENSIS LEAF WATER	84650-60-2	283-519-7	MASKING, PERFUMING, TONIC	
CAMELLIA SINENSIS MERISTEM CELL CULTURE EXTRACT				
CAMELLIA SINENSIS POLYPHENOLS				
CAMELLIA SINENSIS ROOT EXTRACT	84650-60-2	283-519-7	PERFUMING, SKIN CONDITIONING	
CAMELLIA SINENSIS SEED EXTRACT	84650-60-2	283-519-7	HUMECTANT, PERFUMING, SKIN CONDITIONING	
CAMELLIA SINENSIS SEED OIL	68916-73-4	-	HUMECTANT, SKIN CONDITIONING	
CAMELLIA SINENSIS SEED OIL AMINOPROPANEDIOL AMIDES/ESTERS	68916-73-4		EMOLLIENT, HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING	
CAMELLIA SINENSIS SEED OIL/PALM OIL AMINOPROPANEDIOL ESTERS	-	-	SKIN CONDITIONING	
CAMELLIA SINENSIS SEED POWDER			ANTIOXIDANT, SKIN CONDITIONING	
CAMELLIA SINENSIS SEEDCAKE EXTRACT				
CAMELLIA SINENSIS SEEDCOAT POWDER	84650-60-2	283-519-7	PERFUMING, SKIN CONDITIONING	
CAMELLIA SINENSIS SPROUT EXTRACT			ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT, ORAL CARE, SKIN CONDITIONING	
CAMPANULA PUNCTATA CALLUS EXTRACT				
CAMPANULA ROTUNDIFOLIA EXTRACT			ANTIOXIDANT	
CAMPHANEDIOL	56614-57-4	-	SKIN CONDITIONING	
CAMPHENE	565-00-4 / 79-92-5	209-275-3 / 201-234-8	MASKING	
CAMPHOR	464-49-3 / 76-22-2	207-355-2 / 200-945-0	DENATURANT, MASKING, PLASTICISER	
CAMPHOR BENZALKONIUM METHOSULFATE	52793-97-2	258-190-8	ANTIMICROBIAL, ANTISTATIC, UV ABSORBER, UV FILTER	VI/2
CAMPHOR SULFONIC ACID	5872-08-2	227-527-0 (I)	NOT REPORTED	
CAMPHYLCYCLOHEXANOL	68877-29-2	272-556-4	MASKING, PERFUMING	
CAMPOMANESIA LINEATIFOLIA FRUIT EXTRACT			ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING	
CAMPOMANESIA LINEATIFOLIA SEED EXTRACT			ANTIOXIDANT, SKIN CONDITIONING	
CAMPSIS GRANDIFLORA FLOWER EXTRACT	-	-	ANTIOXIDANT, SKIN CONDITIONING	
CANADIAN COLLOIDAL CLAY			SKIN CONDITIONING	
CANANGA ODORATA FLOWER CERA	83863-30-3	281-092-1	MASKING, TONIC	
CANANGA ODORATA FLOWER EXTRACT	83863-30-3	281-092-1	PERFUMING, SKIN CONDITIONING	
(CANANGA ODORATA FLOWER/LEAF)/GANODERMA LUCIDUM FRUITING BODY/(CORCHORUS OLITORIUS/HENNA/MELIA AZADIRACHTA/MORUS ALBA/MUNTINGIA CALABURA/PSIDIUM GUAJAVA/TAMARINDUS INDICA LEAF)/(CITRUS HYSTRIX LEAF/PEEL)/(CITRONELLA/CYMBOPOGON SCHOENANTHUS/OCIMUM TENUIFLORUM LEAF/STEM)/(ALPINIA GALANGA/BOESENBERGIA ROTUNDA/GINGER/TURMERIC RHIZOME)/ZINGIBER CASSUMUNAR ROOT EXTRACT			SKIN CONDITIONING	
CANANGA ODORATA FLOWER OIL	83863-30-3 / 8006-81-3 / 68606-83-7	281-092-1 / - / -	MASKING, PERFUMING	
CANANGA ODORATA FLOWER POWDER	83863-30-3	281-092-1	SKIN CONDITIONING	
CANANGA ODORATA FLOWER WATER	83863-30-3	281-092-1	SKIN CONDITIONING	
CANANGA ODORATA FLOWER WAX			MASKING	
CANANGA ODORATA LEAF CELL EXTRACT			ANTIOXIDANT, SKIN PROTECTING	
CANANGA ODORATA LEAF OIL	83863-30-3 / 8006-81-3 / 68606-83-7	281-092-1 / - / -	MASKING, PERFUMING	
CANANGA ODORATA MACROPHYLLA FLOWER EXTRACT	93686-30-7	297-681-1	PERFUMING	
CANANGA ODORATA (YLANG YLANG) OIL	83863-30-3 / 8006-81-3 / 68606-83-7	281-092-1 / - / -		
CANARIUM COMMUNE GUM OIL	97675-63-3	307-636-0	MASKING, TONIC	
CANARIUM INDICUM SEED OIL			SKIN CONDITIONING	
CANARIUM LUZONICUM GUM EXTRACT			PERFUMING	
CANARIUM LUZONICUM GUM NONVOLATILES	8023-89-0	-	HAIR CONDITIONING, MASKING	
CANARIUM LUZONICUM GUM OIL			PERFUMING	
CANARIUM LUZONICUM LEAF EXTRACT			HUMECTANT	
CANARIUM OVATUM FRUIT OIL				
CANARIUM PIMELA LEAF EXTRACT			HUMECTANT, SKIN CONDITIONING	
CANAVALIA ENSIFORMIS LEAF EXTRACT	93164-98-8	296-881-6	SKIN CONDITIONING	
CANAVALIA GLADIATA EXTRACT			ASTRINGENT, EMOLLIENT, HUMECTANT, SKIN CONDITIONING	
CANAVALIA GLADIATA FRUIT EXTRACT			SKIN CONDITIONING	
CANAVALIA GLADIATA LEAF/VINE EXTRACT	-	-	SKIN CONDITIONING	
CANAVALIA GLADIATA POD EXTRACT	-	-	SKIN CONDITIONING	
CANAVALIA GLADIATA SEED EXTRACT			SKIN CONDITIONING	
CANDELILLA CERA	8006-44-8	232-347-0	EMOLLIENT, FILM FORMING	
CANDELILLA CERA HYDROCARBONS			FILM FORMING, VISCOSITY CONTROLLING	
CANDELILLA/JOJOBA/RICE BRAN POLYGLYCERYL-3 ESTERS	-	-	EMULSIFYING, EMULSION STABILISING, SURFACTANT	
CANDELILLA WAX ESTERS	-	-	FILM FORMING	
CANDELILLA WAX HYDROCARBONS	-	-	FILM FORMING, VISCOSITY CONTROLLING	
CANDIDA ALBICANS/FRITILLARIA VERTICILLATA BULB FERMENT EXTRACT	-	-	SKIN CONDITIONING	
CANDIDA BOMBICOLA/BUTYROSPERMUM PARKII BUTTER FERMENT FILTRATE				
CANDIDA BOMBICOLA/CAMELLIA JAPONICA SEED OIL FERMENT EXTRACT FILTRATE				
CANDIDA BOMBICOLA/CANOLA OIL FERMENT EXTRACT				
CANDIDA BOMBICOLA/CANOLA OIL/RICE BRAN FERMENT FILTRATE EXTRACT				
CANDIDA BOMBICOLA/GLUCOSE/FRUIT/CAMELLIA SINENSIS LEAF/TURMERIC ROOT/OIL FERMENT FILTRATE			EMOLLIENT, EMULSION STABILISING, HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING	
CANDIDA BOMBICOLA/GLUCOSE/METHYL RAPESEEDATE FERMENT			ANTIMICROBIAL, ANTISEBORRHOEIC, CLEANSING, DEODORANT, SKIN PROTECTING, SURFACTANT	
CANDIDA BOMBICOLA/GLUCOSE/RAPESEED OIL FERMENT EXTRACT	-	-	SKIN CONDITIONING	
