inci	cas	ec	functions	restriction
2,2-DIMETHYL-3-PHENYLPROPIONALDEHYDE	1009-62-7	213-771-5	PERFUMING	
2,2'-METHYLENEBIS-4-AMINOPHENOL	63969-46-0	440-850-3	HAIR DYEING	
2,2'-METHYLENEBIS-4-AMINOPHENOL HCL	27311-52-0	-	HAIR DYEING	
2,2'-THIOBIS(4-CHLOROPHENOL)	97-24-5	202-568-7	ANTIMICROBIAL	
2,3,4,4A,5,6,7,8-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL	643-53-8	211-399-8	PERFUMING	
2,3,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE	67801-27-8	267-147-2	PERFUMING	
2,3,6-TRIMETHYLPHENOL	2416-94-6	219-330-3	PERFUMING	
2,3-BUTANEDIOL	513-85-9	208-173-6	HUMECTANT, MASKING, SKIN CONDITIONING, SOLVENT	
2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE	857035-95-1	469-500-8	HAIR DYEING	
2,3-DIETHYLPYRAZINE	15707-24-1	239-800-1	PERFUMING	
2,3-DIHYDRO-2,2,6-TRIMETHYLBENZALDEHYDE	116-26-7	204-133-7	PERFUMING	
2,3-DIMETHYL-2-NONENENITRILE	53153-67-6	258-399-4	PERFUMING	
2,3-DIMETHYL-4-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL	71850-78-7	276-097-0	PERFUMING	
2,3-DIMETHYL-4-FORMYL-1-PHENYL-5-PYRAZOLONE	950-81-2	213-452-0		
2,3-EPOXYPROPYL COCODIMONIUM CHLORIDE			NOT REPORTED	
2,3-EPOXYPROPYL LAURYLDIMONIUM CHLORIDE			NOT REPORTED	
2,3-EPOXYPROPYLTRIMONIIUM CHLORIDE	3033-77-0	221-221-0	NOT REPORTED	CMR1B
2,3-NAPHTHALENEDIOL	92-44-4	202-156-7		
2,3-XYLENOL	526-75-0	208-395-3	PERFUMING	
2,4,6-TRIMETHYL-3-CYCLOHEXENECARBALDEHYDE	1423-46-7	215-833-7	PERFUMING	
2,4,6-TRIMETHYL-3-CYCLOHEXENYL-4-PENTEN-3-ONE	67801-30-3	267-150-9	PERFUMING	
2,4,6-TRIMETHYL-4-PHENYL-1,3-DIOXANE	5182-36-5	225-963-6	PERFUMING	
2,4,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE	67634-05-3	266-808-2	PERFUMING	
2,4-DIAMINO-5-METHYLPHENETOLE HCL	113715-25-6	-		
2,4-DIAMINO-5-METHYLPHENOXYETHANOL	141614-05-3			
2,4-DIAMINO-5-METHYLPHENOXYETHANOL HCL	113715-27-8			
2,4-DIAMINODIPHENYLAMINE	136-17-7			
2,4-DIAMINOPHENOL	95-86-3	202-459-4		
2,4-DIAMINOPHENOL HCL	137-09-7	205-279-4		
2,4-DIAMINOPHENOXYETHANOL HCL	66422-95-5	266-357-1	HAIR DYEING	III/242
2,4-DIAMINOPHENOXYETHANOL SULFATE	70643-20-8	274-713-2	HAIR DYEING	III/242
2,4-DIETHYLPHENYL METHYL KETONE	52191-01-2	257-727-3	PERFUMING	
2,4-DIMETHYL-2-(5,6,7,8-TETRAHYDRO-3,5,5,6,8,8-HEXAMETHYL-2-NAPHTHALENYL)-1,3-DIOXOLANE	131812-48-1	-	PERFUMING	
2,4-DIMETHYL-3-CYCLOHEXENE-1-METHANOL	67634-17-7	266-821-3	PERFUMING	
